DATE,DAY,INSECT,TREATMENT,STRAIN,QUAD,LOCATION,STATUS,ALIVE,DEAD,KNOCKDOWN,NOTES
31-Mar-15,7,T-CO-ECL-3-A,CO,ECL,3,,A,,,,
31-Mar-15,7,T-CO-ECL-3-B,CO,ECL,3,,A,,,,
31-Mar-15,7,T-CO-ECL-3-C,CO,ECL,3,,D,,,,
31-Mar-15,7,T-CO-ECL-4-A,CO,ECL,4,,A,,,,
31-Mar-15,7,T-CO-ECL-4-B,CO,ECL,4,,A,,,,
31-Mar-15,7,T-CO-ECL-4-C,CO,ECL,4,,A,,,,
31-Mar-15,7,T-5A-ECL-1-A,5A,ECL,1,,K,,,,very small motion
31-Mar-15,7,T-5A-ECL-1-B,5A,ECL,1,,D,,,,
31-Mar-15,7,T-5A-ECL-1-C,5A,ECL,1,,D,,,,
31-Mar-15,7,T-5A-ECL-2-A,5A,ECL,2,,D,,,,
31-Mar-15,7,T-5A-ECL-2-B,5A,ECL,2,,D,,,,
31-Mar-15,7,T-5A-ECL-2-C,5A,ECL,2,,K,,,,
31-Mar-15,7,T-5A-ECL-3-A,5A,ECL,3,,D,,,,
31-Mar-15,7,T-5A-ECL-3-B,5A,ECL,3,,K,,,,
31-Mar-15,7,T-5A-ECL-3-C,5A,ECL,3,,K,,,,
31-Mar-15,7,T-5A-ECL-4-A,5A,ECL,4,,D,,,,
31-Mar-15,7,T-5A-ECL-4-B,5A,ECL,4,,K,,,,
31-Mar-15,7,T-5A-ECL-4-C,5A,ECL,4,,D,,,,
1-Apr-15,8,T-CF-ECL-1-A,CF,ECL,1,,D,,,,
1-Apr-15,8,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
1-Apr-15,8,T-CF-ECL-1-C,CF,ECL,1,,D,,,,failed paper test
1-Apr-15,8,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
1-Apr-15,8,T-CF-ECL-2-B,CF,ECL,2,,A,,,,
1-Apr-15,8,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
1-Apr-15,8,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
1-Apr-15,8,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
1-Apr-15,8,T-CF-ECL-3-C,CF,ECL,3,,D,,,,
1-Apr-15,8,T-CF-ECL-4-A,CF,ECL,4,,A,,,,alive
1-Apr-15,8,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
1-Apr-15,8,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
1-Apr-15,8,T-CO-ECL-1-A,CO,ECL,1,,D,,,,
1-Apr-15,8,T-CO-ECL-1-B,CO,ECL,1,,A,,,,
1-Apr-15,8,T-CO-ECL-1-C,CO,ECL,1,,A,,,,resists being pushed
1-Apr-15,8,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
1-Apr-15,8,T-CO-ECL-2-B,CO,ECL,2,,A,,,,
1-Apr-15,8,T-CO-ECL-2-C,CO,ECL,2,,A,,,,
1-Apr-15,8,T-CO-ECL-3-A,CO,ECL,3,,A,,,,
1-Apr-15,8,T-CO-ECL-3-B,CO,ECL,3,,A,,,,
1-Apr-15,8,T-CO-ECL-3-C,CO,ECL,3,,D,,,,
1-Apr-15,8,T-CO-ECL-4-A,CO,ECL,4,,A,,,,
1-Apr-15,8,T-CO-ECL-4-B,CO,ECL,4,,A,,,,
1-Apr-15,8,T-CO-ECL-4-C,CO,ECL,4,,A,,,,
1-Apr-15,8,T-5A-ECL-1-A,5A,ECL,1,,K,,,,
1-Apr-15,8,T-5A-ECL-1-B,5A,ECL,1,,D,,,,
1-Apr-15,8,T-5A-ECL-1-C,5A,ECL,1,,D,,,,
1-Apr-15,8,T-5A-ECL-2-A,5A,ECL,2,,D,,,,
1-Apr-15,8,T-5A-ECL-2-B,5A,ECL,2,,D,,,,
1-Apr-15,8,T-5A-ECL-2-C,5A,ECL,2,,K,,,,
1-Apr-15,8,T-5A-ECL-3-A,5A,ECL,3,,D,,,,
1-Apr-15,8,T-5A-ECL-3-B,5A,ECL,3,,D,,,,
1-Apr-15,8,T-5A-ECL-3-C,5A,ECL,3,,K,,,,very close to death
1-Apr-15,8,T-5A-ECL-4-A,5A,ECL,4,,D,,,,
1-Apr-15,8,T-5A-ECL-4-B,5A,ECL,4,,K,,,,
1-Apr-15,8,T-5A-ECL-4-C,5A,ECL,4,,D,,,,
2-Apr-15,9,T-CF-ECL-1-A,CF,ECL,1,,D,,,,
2-Apr-15,9,T-CF-ECL-1-B,CF,ECL,1,,A,,,,
2-Apr-15,9,T-CF-ECL-1-C,CF,ECL,1,,D,,,,
2-Apr-15,9,T-CF-ECL-2-A,CF,ECL,2,,A,,,,
2-Apr-15,9,T-CF-ECL-2-B,CF,ECL,2,,A,,,,
2-Apr-15,9,T-CF-ECL-2-C,CF,ECL,2,,A,,,,
2-Apr-15,9,T-CF-ECL-3-A,CF,ECL,3,,A,,,,
2-Apr-15,9,T-CF-ECL-3-B,CF,ECL,3,,A,,,,
2-Apr-15,9,T-CF-ECL-3-C,CF,ECL,3,,D,,,,
2-Apr-15,9,T-CF-ECL-4-A,CF,ECL,4,,A,,,,
2-Apr-15,9,T-CF-ECL-4-B,CF,ECL,4,,A,,,,
2-Apr-15,9,T-CF-ECL-4-C,CF,ECL,4,,A,,,,
2-Apr-15,9,T-CO-ECL-1-A,CO,ECL,1,,D,,,,
2-Apr-15,9,T-CO-ECL-1-B,CO,ECL,1,,A,,,,
2-Apr-15,9,T-CO-ECL-1-C,CO,ECL,1,,K,,,,In same positions as yesterday
2-Apr-15,9,T-CO-ECL-2-A,CO,ECL,2,,A,,,,
2-Apr-15,9,T-CO-ECL-2-B,CO,ECL,2,,A,,,,
